run,mode,metric,label,direction,n,mean,mean_ci_low,mean_ci_high,std,median,iqr
baseline_hipRneg,baseline,return_env,Environment return,higher,20,2415.0134629068766,2342.106304398259,2478.0010099986616,159.29108635102222,2490.438747456419,106.09671270339868
baseline_hipRneg,baseline,return_total,Total return,higher,20,2415.0134629068766,2341.1662343520097,2477.767056363895,159.29108635102222,2490.438747456419,106.09671270339868
baseline_hipRneg,baseline,RMSE_deg,Tracking RMSE (deg),lower,20,43.23321352655562,42.152369288286465,44.55543796210013,2.8514085953748505,42.29173109769181,1.6805104163775368
baseline_hipRneg,baseline,MAE_deg,Tracking MAE (deg),lower,20,33.66776218608864,32.93723202868316,34.62618599905246,1.9807974488076103,33.00650772389199,1.0775383519726986
baseline_hipRneg,baseline,speed,Forward speed (m/s),higher,20,3.943842678937956,3.8891847648804623,3.9940497102081403,0.12259909014346411,3.984024945452065,0.15985949666069654
baseline_hipRneg,baseline,ctrl_cost,Control cost,lower,20,0.0032042459231487546,0.0031643799929515918,0.003252465785975426,0.00010381576447019011,0.0031848205796268,6.757444557467475e-05
baseline_hipRneg,baseline,ep_len,Episode length (steps),higher,20,488.5,477.24875,497.7,23.79849619309236,500.0,0.0
baseline_hipRneg,baseline,survival,Survival (0/1),higher,20,0.8,0.6,0.95,0.41039134083406165,1.0,0.0
paper6_hipRneg,paper6,return_env,Environment return,higher,20,472.7097166027737,471.62996719770547,473.767758729146,2.4799587305273576,472.6572151379776,3.697470648668002
paper6_hipRneg,paper6,return_total,Total return,higher,20,169.4405474492489,169.21259169603056,169.66138975156144,0.5400877874784958,169.59057946428936,0.7894025169098313
paper6_hipRneg,paper6,RMSE_deg,Tracking RMSE (deg),lower,20,9.773095966749798,9.760646196713836,9.78443716042253,0.027775452786028526,9.771867145633,0.02121292546858733
paper6_hipRneg,paper6,MAE_deg,Tracking MAE (deg),lower,20,6.690626437806266,6.679769698240258,6.701313900255613,0.02530081333818986,6.691057261037123,0.033082654259176
paper6_hipRneg,paper6,speed,Forward speed (m/s),higher,20,-0.05378812361268033,-0.05594056101309249,-0.05167372354673866,0.0049508510045975975,-0.053895758236757296,0.0073798285302806715
paper6_hipRneg,paper6,ctrl_cost,Control cost,lower,20,0.0007924431817723749,0.0007870992614826432,0.0007978619712732048,1.2644228947362197e-05,0.00079358517261965,1.3997514968150013e-05
paper6_hipRneg,paper6,ep_len,Episode length (steps),higher,20,500.0,500.0,500.0,0.0,500.0,0.0
paper6_hipRneg,paper6,survival,Survival (0/1),higher,20,1.0,1.0,1.0,0.0,1.0,0.0
exp6_hipRneg,exp6,return_env,Environment return,higher,20,442.42578823397145,439.7919168769436,445.08308766024976,6.21155456962013,442.33274860849315,5.416628916304376
exp6_hipRneg,exp6,return_total,Total return,higher,20,203.7791184942796,203.33362680953948,204.20207284992424,1.021307596533241,203.85482452882934,0.9694295939837332
exp6_hipRneg,exp6,RMSE_deg,Tracking RMSE (deg),lower,20,6.65106117862608,6.629946750096653,6.671389075305475,0.0494067815706729,6.6623006741418145,0.05915716802557469
exp6_hipRneg,exp6,MAE_deg,Tracking MAE (deg),lower,20,4.287140937756047,4.27023163329603,4.305033243398791,0.04122985308646482,4.279336966696178,0.05092599041808743
exp6_hipRneg,exp6,speed,Forward speed (m/s),higher,20,-0.11403219325836338,-0.11935457764393138,-0.10873866733644424,0.012416155943588466,-0.11421615172689334,0.010834160444195967
exp6_hipRneg,exp6,ctrl_cost,Control cost,lower,20,0.00111623027369337,0.00111058366372323,0.0011213051429387064,1.2534277707102738e-05,0.0011186416142427002,1.652475014405014e-05
exp6_hipRneg,exp6,ep_len,Episode length (steps),higher,20,500.0,500.0,500.0,0.0,500.0,0.0
exp6_hipRneg,exp6,survival,Survival (0/1),higher,20,1.0,1.0,1.0,0.0,1.0,0.0
