run,mode,return_env_mean,return_env_std,return_total_mean,return_total_std,ep_len_mean,ep_len_std,survival_rate,speed_mean,speed_std,ctrl_cost_mean,ctrl_cost_std,MAE_deg,RMSE_deg
baseline_hipRneg,baseline,2415.0134629068766,155.25774596246197,2415.0134629068766,155.25774596246197,488.5,23.195904810979027,0.8,3.943842678937956,0.11949481184890405,0.0032042459231488006,0.00010118709060401055,33.59473460727676,43.203992767631874
paper6_hipRneg,paper6,472.7097166027737,2.417164773006367,169.4405474492489,0.5264124592695789,500.0,0.0,1.0,-0.053788123612680386,0.004825492657360363,0.0007924431817724327,1.2324069919864975e-05,6.690626437806265,9.773133462574313
exp6_hipRneg,exp6,442.42578823397145,6.054274495164572,203.77911849427963,0.9954475106200639,500.0,0.0,1.0,-0.11403219325836345,0.01210177185352343,0.001116230273693418,1.2216902707189882e-05,4.287140937756047,6.651235507812729
