return_env,return_total,ep_len,survival,speed,ctrl_cost,RMSE_deg,MAE_deg
455.50744676751407,202.69809999418268,500.0,1.0,-0.08788000616806946,0.0011051002969034015,6.696520235160979,4.349566692053999
441.40566298971873,203.22692077311584,500.0,1.0,-0.11607347006860376,0.0011152039519583923,6.675533058983457,4.324987130490135
438.1510101274393,204.885960445735,500.0,1.0,-0.1225891909311479,0.0011087888139736605,6.621647409525105,4.263443673652425
429.71753040084195,204.06767589606926,500.0,1.0,-0.13943447884703175,0.0011304603512835457,6.549667265871175,4.226782287631322
451.6710796907762,203.554009072548,500.0,1.0,-0.09555930671302017,0.0010985339054277574,6.72193252013089,4.330387715988915
443.3258289630318,203.2231506847318,500.0,1.0,-0.1122290897580486,0.001119252315886115,6.668052657239192,4.286548965124453
435.25762231521844,205.30813812911344,500.0,1.0,-0.12835641768934347,0.0011283376802202838,6.606639473883984,4.222030262305216
432.91383047479565,203.4109082383604,500.0,1.0,-0.13304451032007308,0.0011278287303357502,6.600026424732665,4.252753128281131
446.31620434767456,201.6235091557204,500.0,1.0,-0.1062633108850173,0.0011042804196331416,6.700150434445107,4.3596401787593875
447.87786955391624,203.3770821410209,500.0,1.0,-0.10311975351010273,0.0011245073820646211,6.681611197611226,4.308237931783895
436.6453478240523,203.64197316158936,500.0,1.0,-0.12557501732182194,0.0011342870300723007,6.561292922267712,4.255665943212193
444.4422380178784,205.375566051367,500.0,1.0,-0.11003210923498707,0.0010834147292553098,6.668739888133575,4.2818871222859025
442.48040828517657,204.28156911967474,500.0,1.0,-0.11391596378578919,0.0011232196438577375,6.6467870840012,4.277294055241537
444.4524254260998,203.2990750011203,500.0,1.0,-0.10997445899908653,0.0011206901487130381,6.600567906531169,4.26669723699295
442.1850889318097,205.01547869802445,500.0,1.0,-0.11451633966799767,0.001113482468383154,6.638634252943343,4.249520275871224
439.95198494443906,204.23803344237626,500.0,1.0,-0.11897804624263764,0.0011179838684838613,6.66717492721975,4.278759367785704
450.1074755112393,204.11790804805756,500.0,1.0,-0.09866701806492194,0.0011180309125993517,6.65742642106388,4.278109327724148
441.555266141157,204.23547143022682,500.0,1.0,-0.11576554730037844,0.0011239204173070902,6.650246191743345,4.279914565606651
441.7483537502342,201.76174205831228,500.0,1.0,-0.1153789397137531,0.0011243527857786831,6.738021265147862,4.3683433691718605
442.80309021641546,204.24009834424558,500.0,1.0,-0.11329088994543679,0.0011029296217311638,6.67055203588599,4.282249525157887
