step,value,run
10000,-25.416378021240234,SAC_1
10000,117.3502426147461,SAC_1
10000,-21.244840621948242,SAC_1
20000,-113.45774841308594,SAC_1
20000,182.666259765625,SAC_1
20000,-24.709575653076172,SAC_1
30000,-74.00414276123047,SAC_1
30000,230.83497619628906,SAC_1
30000,-16.928203582763672,SAC_1
40000,-25.08316421508789,SAC_1
40000,340.87896728515625,SAC_1
40000,-9.714487075805664,SAC_1
50000,11.930044174194336,SAC_1
50000,254.053466796875,SAC_1
50000,1.7624379396438599,SAC_1
60000,-1.1435152292251587,SAC_1
60000,466.3467712402344,SAC_1
60000,-3.007901430130005,SAC_1
70000,76.35912322998047,SAC_1
70000,682.3680419921875,SAC_1
70000,20.13081932067871,SAC_1
80000,50.841732025146484,SAC_1
80000,377.2507629394531,SAC_1
80000,7.1781697273254395,SAC_1
90000,94.48057556152344,SAC_1
90000,719.7686767578125,SAC_1
90000,51.027137756347656,SAC_1
100000,79.95651245117188,SAC_1
100000,1099.718505859375,SAC_1
100000,66.94834899902344,SAC_1
110000,85.97128295898438,SAC_1
110000,1186.6138916015625,SAC_1
110000,97.62024688720703,SAC_1
120000,109.48759460449219,SAC_1
120000,1147.590576171875,SAC_1
120000,104.66421508789062,SAC_1
130000,96.69476318359375,SAC_1
130000,1575.9285888671875,SAC_1
130000,44.11540985107422,SAC_1
140000,97.90583801269531,SAC_1
140000,777.9326171875,SAC_1
140000,83.0458984375,SAC_1
150000,109.52389526367188,SAC_1
150000,1548.1751708984375,SAC_1
150000,112.21305847167969,SAC_1
160000,101.94159698486328,SAC_1
160000,1274.96630859375,SAC_1
160000,114.07679748535156,SAC_1
170000,123.79166412353516,SAC_1
170000,1729.6363525390625,SAC_1
170000,117.37642669677734,SAC_1
180000,117.97310638427734,SAC_1
180000,1338.7340087890625,SAC_1
180000,107.6212158203125,SAC_1
190000,138.0984344482422,SAC_1
190000,1840.496337890625,SAC_1
190000,118.5169906616211,SAC_1
200000,130.92385864257812,SAC_1
200000,428.3309631347656,SAC_1
200000,87.57038116455078,SAC_1
210000,142.3333282470703,SAC_1
210000,1894.980224609375,SAC_1
210000,118.8489990234375,SAC_1
220000,138.29595947265625,SAC_1
220000,1852.5467529296875,SAC_1
220000,89.82259368896484,SAC_1
230000,141.09085083007812,SAC_1
230000,1928.4989013671875,SAC_1
230000,122.6285171508789,SAC_1
240000,147.38558959960938,SAC_1
240000,1833.72314453125,SAC_1
240000,120.81297302246094,SAC_1
250000,147.3179473876953,SAC_1
250000,1885.2421875,SAC_1
250000,114.18878936767578,SAC_1
260000,155.1561279296875,SAC_1
260000,1882.4808349609375,SAC_1
260000,130.67196655273438,SAC_1
270000,157.79335021972656,SAC_1
270000,1967.870849609375,SAC_1
270000,120.92095184326172,SAC_1
280000,150.6638946533203,SAC_1
280000,-14.402750015258789,SAC_1
280000,129.31979370117188,SAC_1
290000,162.34912109375,SAC_1
290000,130.3516387939453,SAC_1
290000,134.72694396972656,SAC_1
300000,158.81207275390625,SAC_1
300000,1959.310546875,SAC_1
300000,118.88407135009766,SAC_1
310000,155.4124298095703,SAC_1
310000,2034.2059326171875,SAC_1
310000,128.35084533691406,SAC_1
