return_env,return_total,ep_len,survival,speed,ctrl_cost,RMSE_deg,MAE_deg
2527.1652392550855,2527.1652392550855,500.0,1.0,4.0575445645689525,0.0032140860587824135,42.73684543877558,33.7931164330889
2498.97709341444,2498.97709341444,500.0,1.0,4.001032770991689,0.0030785841628094206,41.21749144401718,31.936200534753667
2512.999014795359,2512.999014795359,500.0,1.0,4.029154722871162,0.0031566932804416867,42.02614922457863,32.961660613490686
2409.7472518469644,2409.7472518469644,500.0,1.0,3.8226065213613145,0.003112017667386681,41.40835211093349,33.0513548342933
2543.0896388186547,2543.0896388186547,500.0,1.0,4.0894086600109345,0.0032293823736254126,41.69782777232162,33.135663219863204
2507.4354777987355,2507.4354777987355,500.0,1.0,4.018058650461645,0.003187694864172954,40.37105984008089,32.17854438321996
2210.261367125948,2210.261367125948,454.0,0.0,3.8737620554173318,0.003142304038593037,44.081344836079694,33.84726977124008
2162.707484373807,2162.707484373807,440.0,0.0,3.9206989562355554,0.0031819462950807066,44.74998591784663,34.042515999842784
2507.1093041126346,2507.1093041126346,500.0,1.0,4.017372824142492,0.0031542159172240646,41.88567433205871,33.105397820117624
2547.688113564973,2547.688113564973,500.0,1.0,4.098585071535545,0.0032088444055989383,41.47309717611873,32.76755508449379
2390.0829441236096,2390.0829441236096,500.0,1.0,3.783420026030771,0.0032541377835441383,42.129455774027285,32.86908703550917
2494.9854820511796,2494.9854820511796,500.0,1.0,3.9931243274618735,0.003153363359509967,43.15471574032904,32.91456366819247
2501.8763508217335,2501.8763508217335,500.0,1.0,4.006868015947601,0.0031153143041301517,42.68673384624885,32.94986094589435
2485.8920128616587,2485.8920128616587,500.0,1.0,3.9749255634422562,0.0031415377189405263,43.94260973294154,33.960485140672226
2406.945217751454,2406.945217751454,500.0,1.0,3.8171065939299775,0.0032161584270652384,41.59123197145366,32.36088719077247
2066.061901078681,2066.061901078681,439.0,0.0,3.712013684916439,0.003444434167734498,50.61710941941763,39.00474929434036
2050.7692334689323,2050.7692334689323,437.0,0.0,3.6986324692145782,0.0035083651666804397,51.32921126376933,39.337296370953766
2451.0007122660086,2451.0007122660086,500.0,1.0,3.9051529523454223,0.003151527813402936,43.09676419686322,34.022766354855946
2542.267344305445,2542.267344305445,500.0,1.0,4.087750289289239,0.0032156006783479823,42.45400642135634,32.30807370550877
2483.208074302225,2483.208074302225,500.0,1.0,3.9696348585843544,0.0032187099799048154,42.01460407189448,32.808195320669284
